MSFT,0000789019
NVDA,0001045810
AAPL,0000320193
AMZN,0001018724
GOOGL,0001652044
META,0001326801
AVGO,0001730168
TSLA,0001318605
NFLX,0001065280
COST,0000909832
PLTR,0001321655
ASML,0000937966
TMUS,0001283699
CSCO,0000858877
AZN,0000901832
LIN,0001707925
INTU,0000896878
QQQ,0001067839
AMD,0000002488
ISRG,0001035267
PEP,0000077476
TXN,0000097476
BKNG,0001075531
QCOM,0000804328
ADBE,0000796343
AMGN,0000318154
HON,0000773840
ARM,0001973239
PDD,0001737806
AMAT,0000006951
GILD,0000882095
SHOP,0001594805
CMCSA,0001166691
PANW,0001327567
MU,0000723125
ADP,0000008670
APP,0001751008
SNY,0001121404
MELI,0001099590
CRWD,0001535527
VRTX,0000875320
KLAC,0000319201
LRCX,0000707549
ADI,0000006281
SBUX,0000829224
MSTR,0001050446
CME,0001156375
CEG,0001868275
DASH,0001792789
DUK,0001326160
CTAS,0000723254
TRI,0001075124
INTC,0000050863
MDLZ,0001103982
EQIX,0001101239
IBKR,0001381197
ABNB,0001559720
NTES,0001110646
CDNS,0000813672
FTNT,0001262039
ORLY,0000898173
SNPS,0000883241
CRWV,0001769628
MAR,0001048286
PYPL,0001633917
WDAY,0001327811
HOOD,0001783879
ADSK,0000769397
MNST,0000865752
COIN,0001679788
ROP,0000882835
AXON,0001069183
CSX,0000277948
MRVL,0001835632
REGN,0000872589
PAYX,0000723531
AEP,0000004904
CHTR,0001091667
NXPI,0001413447
TEAM,0001650372
NDAQ,0001120193
FAST,0000815556
PCAR,0000075362
JD,0001549802
CPRT,0000900075
ZS,0001713683
FANG,0001539838
KDP,0001418135
EXC,0001109357
KMB,0000055785
VRSK,0001442145
ROST,0000745732
CCEP,0001650107
TTWO,0000946581
IDXX,0000874716
DDOG,0001561550
ALNY,0001178670
TCOM,0001269238
XEL,0000072903
CTSH,0001058290
BKR,0001701605
EA,0000712515
FER,0001468522
EBAY,0001065088
MCHP,0000827054
ARGX,0001697862
ACGL,0000947484
CSGP,0001057352
ODFL,0000878927
TTD,0001671933
GEHC,0001932393
MPWR,0001280452
DXCM,0001093557
ONC,0001651308
KHC,0001637459
TW,0001758730
LPLA,0001397911
ANSS,0001013462
WTW,0001140536
BIDU,0001329099
RYAAY,0001038683
LULU,0001397187
LI,0001791706
ERIC,0000717826
EXE,0000895126
TSCO,0000916365
STX,0001137789
VRSN,0001014473
BNTX,0001776985
WBD,0001437107
VOD,0000839923
SMCI,0001375365
SBAC,0001034054
UAL,0000100517
FCNCA,0000798941
CHKP,0001015922
FOXA,0001754301
ZM,0001585521
CINF,0000020286
NTRA,0001604821
CDW,0001402057
DUOL,0001562088
ESLT,0001027664
PODD,0001145197
ON,0001097864
NTRS,0000073124
EXPE,0001324424
ULTA,0001403568
GFS,0001709048
PTC,0000857005
NTAP,0001002047
TROW,0001113169
DLTR,0000935703
STLD,0001022671
RPRX,0001802768
SSNC,0001402436
CYBR,0001598110
WDC,0000106040
NTNX,0001618732
AFRM,0001820953
BIIB,0000875045
GRAB,0001855612
FSLR,0001274494
ERIE,0000922621
GEN,0000849399
CASY,0000726958
DKNG,0001883685
INSM,0001104506
FITBI,0000035527
TPG,0001880661
OKTA,0001660134
PFG,0001126328
TRMB,0000864749
ZG,0001617640
MDB,0001441816
CG,0001527166
KSPI,0001985487
SYM,0001837240
FFIV,0001048695
NWSA,0001564708
FLEX,0000866374
LNT,0000352541
EVRG,0001711269
SOFI,0001818874
SFM,0001575515
DPZ,0001286681
FUTU,0001754581
RIVN,0001874178
DOCU,0001261333
ARCC,0001287750
BSY,0001031308
ALAB,0001736297
SMMT,0001599298
ZBRA,0000877212
HOLX,0000859737
MNDY,0001845338
GMAB,0001434265
COO,0000711404
JBHT,0000728535
WMG,0001319161
ILMN,0001110803
WWD,0000108312
TER,0000097210
LBRDA,0001611983
INCY,0000879169
JKHY,0000779152
ALGN,0001097149
UTHR,0001082554
REG,0000910606
PAA,0001070423
FTAI,0001590364
MORN,0001289419
EWBC,0001069157
GLPI,0001575965
CRDO,0001807794
SAIL,0002030781
LOGI,0001032975
TLN,0001622536
ASTS,0001780312
MBLY,0001910139
NBIX,0000914475
DRS,0001833756
TEM,0001717115
LAMR,0001090425
VNOM,0001602065
NDSN,0000072331
TXRH,0001289460
RGLD,0000085535
RKLB,0001819994
ICLR,0001060955
MANH,0001056696
ENTG,0001101302
NBIS,0001513845
CART,0001579091
EXEL,0000939767
LECO,0000059527
CHRW,0001043277
GTM,0001794515
AKAM,0001086222
LINE,0001868159
MMYT,0001495153
ROKU,0001428439
PPC,0000802481
POOL,0000945841
NICE,0001003935
BMRN,0001048477
SWKS,0000004127
HST,0001070750
VTRS,0001792044
CELH,0001341766
SEIC,0000350894
XP,0001787425
ASND,0001612042
HTHT,0001483994
DOX,0001062579
MRNA,0001682852
EXAS,0001124140
WING,0001636222
PCTY,0001591698
LKQ,0001065696
CPB,0000016732
WBA,0001618921
AUR,0001828108
MTSI,0001493594
COKE,0000317540
HAS,0000046080
BPYPP,0001545772
AGNC,0001423689
TTEK,0000831641
SFD,0000091388
TTAN,0001638826
COOP,0000933136
NXT,0001852131
FYBR,0000020520
HQY,0001428336
AVAV,0001368622
FRHC,0000924805
WYNN,0001174922
GGAL,0001114700
MASI,0000937556
HSIC,0001000228
ENSG,0001125376
MEDP,0001668397
PEGA,0001013857
PARA,0000813828
MKTX,0001278021
DSGX,0001050140
WIX,0001576789
BPMC,0001597264
BILI,0001723690
VFS,0001913510
CVLT,0001169561
APPF,0001433195
CBSH,0000022356
CFLT,0001699838
FSV,0001637810
PNFP,0001115055
TECH,0000842023
WTFC,0001015328
RGC,0001829667
BZ,0001842827
VRNA,0001657312
EXLS,0001297989
DBX,0001467623
ROIV,0001635088
UMBF,0000101382
MIDD,0000769520
ONB,0000707179
RVMD,0001628171
HLNE,0001433642
APA,0001841666
CWST,0000911177
MTCH,0000891103
CORT,0001088856
BBIO,0001743881
QRVO,0001604778
OTEX,0001002638
OLED,0001005284
GRFS,0001438569
SRAD,0001836470
SIRI,0000908937
RGEN,0000730272
OLLI,0001639300
BPOP,0000763901
GLXY,0001859392
ZION,0000109380
LNW,0000750004
CHDN,0000020212
SAIA,0001177702
GTLB,0001653482
AAL,0000006201
WAY,0001990354
FIVE,0001177609
LEGN,0001801198
HALO,0001159036
LSCC,0000855658
OS,0001889956
STEP,0001796022
SLM,0001032033
JAZZ,0001232524
MDGL,0001157601
NVMI,0001109345
LCID,0001811210
KTOS,0001069258
CIGI,0000913353
VIRT,0001592386
RMBS,0000917273
TIGO,0000912958
LYFT,0001759509
URBN,0000912615
SNDK,0002023554
STRL,0000874238
GH,0001576280
MAT,0000063276
CHRD,0001486159
BOKF,0000875357
MKSI,0001049502
ENPH,0001463101
ETSY,0001370637
AAON,0000824142
VERX,0001806837
BRKR,0001109354
CCCS,0001818201
ROAD,0001718227
TGTX,0001001316
UFPI,0000912767
FCFS,0000840489
CACC,0000885550
LITE,0001633978
IDCC,0001405495
IONS,0000874015
QFIN,0001741530
CROX,0001334036
NUVL,0001861560
ITRI,0000780571
MMSI,0000856982
VRNS,0001361113
GLBE,0001835963
DJT,0001849635
CHA,0002013649
TLX,0002007191
LNTH,0001521036
CRVL,0000874866
CZR,0001590895
LFUS,0000889331
ACT,0001823529
ALGM,0000866291
BCPC,0000009326
LOPE,0001434588
CRUS,0000772406
IESC,0001048268
SIGI,0000230557
MARA,0001507605
OPCH,0001014739
SPSC,0001092699
AXSM,0001579428
ETOR,0001493318
FFIN,0000036029
CHX,0001723089
CGNX,0000851205
QLYS,0001107843
OMAB,0001378239
OZK,0001569650
NXST,0001142417
UBSI,0000729986
ESGR,0001363829
SITM,0001451809
UPST,0001647639
ADMA,0001368514
RRR,0001653653
SAIC,0001571123
AMKR,0001047127
WSC,0001647088
SATS,0001415404
GNTX,0000355811
ALKS,0001520262
PECO,0001476204
GDS,0001526125
CSW,0001624794
TMDX,0001756262
LSTR,0000853816
VLY,0000714310
COLB,0000887343
ACIW,0000935036
BULL,0001866364
FROG,0001800667
CALM,0000016160
LIF,0001581760
EEFT,0001029199
LANC,0000057515
SANM,0000897723
HWC,0000750577
BGC,0001094831
AEIS,0000927003
IRTC,0001388658
ZLAB,0001704292
REYN,0001786431
SLAB,0001038074
SEZL,0001662991
PAGP,0001581990
IEP,0000813762
IPAR,0000822663
